2.257 2.535 1.207 2.257 2.535 1.207 1
1.830 2.731 0.199 1.830 2.731 0.199 1
2.187 2.200 1.352 2.187 2.200 1.352 1
1.307 2.201 1.524 1.307 2.201 1.524 1
1.728 1.919 1.242 1.728 1.919 1.242 1
1.619 1.188 0.787 1.619 1.188 0.787 1
1.780 1.657 0.293 1.780 1.657 0.293 1
2.487 2.167 0.164 2.487 2.167 0.164 1
1.263 2.787 0.789 1.263 2.787 0.789 1
1.853 1.343 0.354 1.853 1.343 0.354 1
1.779 2.005 0.701 1.779 2.005 0.701 1
2.102 2.158 0.036 2.102 2.158 0.036 1 
2.035 1.405 1.454 2.035 1.405 1.454 1
1.697 1.986 0.218 1.697 1.986 0.218 1
2.465 1.195 1.405 2.465 1.195 1.405 1
1.625 1.664 1.295 1.625 1.664 1.295 1
2.227 2.244 0.652 2.227 2.244 0.652 1
2.289 1.085 1.292 2.289 1.085 1.292 1
1.105 1.082 0.201 1.105 1.082 0.201 1
2.173 2.477 0.460 2.173 2.477 0.460 1
2.114 2.017 1.498 2.114 2.017 1.498 1
1.649 2.120 0.378 1.649 2.120 0.378 1
2.128 1.044 1.463 2.128 1.044 1.463 1
2.025 1.559 0.538 2.025 1.559 0.538 1
2.179 2.659 0.148 2.179 2.659 0.148 1
1.842 2.161 1.348 1.842 2.161 1.348 1
2.398 2.252 0.759 2.398 2.252 0.759 1
1.491 1.520 1.104 1.491 1.520 1.104 1
2.289 2.557 0.029 2.289 2.557 0.029 1
1.592 2.821 0.997 1.592 2.821 0.997 1
2.151 1.336 0.367 2.151 1.336 0.367 1
1.736 1.154 0.117 1.736 1.154 0.117 1
1.977 2.753 0.045 1.977 2.753 0.045 1
2.309 1.886 0.522 2.309 1.886 0.522 1
1.312 1.524 0.533 1.312 1.524 0.533 1
1.793 1.915 0.621 1.793 1.915 0.621 1
1.225 1.672 0.465 1.225 1.672 0.465 1
1.800 2.238 0.974 1.800 2.238 0.974 1
2.027 2.134 0.284 2.027 2.134 0.284 1
1.805 2.377 0.417 1.805 2.377 0.417 1
2.389 2.338 0.109 2.389 2.338 0.109 1
1.528 1.936 0.876 1.528 1.936 0.876 1
1.535 1.412 0.367 1.535 1.412 0.367 1
1.845 1.636 0.307 1.845 1.636 0.307 1
2.057 2.978 0.123 2.057 2.978 0.123 1
1.619 2.858 0.664 1.619 2.858 0.664 1
2.079 1.510 0.780 2.079 1.510 0.780 1
1.721 2.580 1.401 1.721 2.580 1.401 1
2.452 1.395 1.342 2.452 1.395 1.342 1
2.365 2.956 1.167 2.365 2.956 1.167 1
1.110 1.071 1.494 1.110 1.071 1.494 1
1.383 2.043 0.614 1.383 2.043 0.614 1
2.248 2.743 1.069 2.248 2.743 1.069 1
1.229 2.567 1.101 1.229 2.567 1.101 1
1.236 1.699 0.011 1.236 1.699 0.011 1
1.942 2.938 0.056 1.942 2.938 0.056 1
1.473 1.801 1.288 1.473 1.801 1.288 1
1.266 1.311 1.223 1.266 1.311 1.223 1
1.592 1.671 1.102 1.592 1.671 1.102 1
1.966 1.331 1.111 1.966 1.331 1.111 1
1.399 1.165 0.262 1.399 1.165 0.262 1
2.477 2.548 1.129 2.477 2.548 1.129 1
1.675 2.647 1.509 1.675 2.647 1.509 1
